,yield,yield_unit,brand,crop,state,county,latitude,longitude,plantdate,harvestdate,test_avg_yield,test_avg_yield_unit,irrigated_status,soil_class,country,Location
133,232.3,bu/ac,CHAMPION,corn,IA,Harrison,41.60463153,-95.91915364,5/13/13,10/17/13,230.5716216,bu/ac,False,SILT LOAM,US,"Harrison,IA,US"
134,263.0,bu/ac,ARMOR,corn,IN,Warrick,38.04532433,-87.42322546,5/8/14,9/29/14,247.40625,bu/ac,False,SILT LOAM,US,"Warrick,IN,US"
135,247.0,bu/ac,BECKS,corn,IN,Warrick,38.04532433,-87.42322546,5/8/14,9/29/14,247.40625,bu/ac,False,SILT LOAM,US,"Warrick,IN,US"
138,142.06341,bu/ac,B-H GENETICS,corn,KS,Reno,38.0655,-97.9142,5/13/13,10/11/13,151.5311849,bu/ac,True,SILT LOAM,US,"Reno,KS,US"
139,244.0,bu/ac,AGRIGOLD,corn,IN,Tippecanoe,40.471817,-86.90575821,5/20/13,10/22/13,237.2222222,bu/ac,False,SILTY CLAY LOAM,US,"Tippecanoe,IN,US"
140,212.8,bu/ac,CHANNEL,corn,OH,Clark,39.87276999,-83.72801357,5/18/12,11/7/12,226.9338462,bu/ac,False,SILT LOAM,US,"Clark,OH,US"
141,188.9,bu/ac,CHAMPION,corn,IA,Hancock,43.04549834,-94.31656616,5/14/13,11/2/13,189.815,bu/ac,False,CLAY LOAM,US,"Hancock,IA,US"
142,251.6,bu/ac,AUGUSTA,corn,MD,Cecil,39.4333,-75.79471,5/21/13,11/4/13,245.4,bu/ac,False,SANDY LOAM,US,"Cecil,MD,US"
143,269.3,bu/ac,AGRIGOLD,corn,OH,Wyandot,40.76818688,-83.43958754,5/15/13,11/11/13,257.5409091,bu/ac,False,SILT LOAM,US,"Wyandot,OH,US"
144,282.0,bu/ac,BECKS,corn,OH,Licking,39.95905392,-82.49013883,5/9/13,10/26/13,278.8013333,bu/ac,False,SILTY CLAY LOAM,US,"Licking,OH,US"
145,181.7,bu/ac,AUGUSTA,corn,NE,Dodge,41.641554,-96.688539,5/7/14,10/24/14,183.0,bu/ac,False,SILT LOAM,US,"Dodge,NE,US"
146,272.0,bu/ac,ARMOR,corn,IN,Rush,39.58344972,-85.44653091,5/21/14,11/8/14,256.59375,bu/ac,False,SILT LOAM,US,"Rush,IN,US"
147,237.0,bu/ac,AGRIGOLD,corn,IN,Knox,38.71485201,-87.39115564,5/17/11,10/3/11,245.125,bu/ac,False,SILTY CLAY LOAM,US,"Knox,IN,US"
148,261.4,bu/ac,BECKS,corn,IL,McLean,40.32261,-89.44454,5/15/13,10/28/13,256.3,bu/ac,False,SILTY CLAY LOAM,US,"McLean,IL,US"
149,248.1,bu/ac,CHEMGRO,corn,PA,Schuylkill,40.88815,-76.22758,5/7/14,11/12/14,239.1,bu/ac,False,SANDY CLAY LOAM,US,"Schuylkill,PA,US"
150,280.3,bu/ac,BECKS,corn,OH,Fayette,39.51031539,-83.49957935,5/28/14,11/7/14,263.1471429,bu/ac,False,SILT LOAM,US,"Fayette,OH,US"
151,256.0,bu/ac,BECKS,corn,IN,Daviess,38.64199544,-87.08532895,5/2/13,10/24/13,259.1052632,bu/ac,False,SILT LOAM,US,"Daviess,IN,US"
152,241.5,bu/ac,RENK,corn,NE,Sarpy,41.042142,-96.146146,4/22/12,9/9/12,250.3,bu/ac,True,SILT LOAM,US,"Sarpy,NE,US"
153,184.7120744,bu/ac,AGRIGOLD,corn,KS,Riley,39.18360138,-96.5714,4/28/13,9/24/13,183.9670748,bu/ac,False,SILT LOAM,US,"Riley,KS,US"
154,245.0,bu/ac,BECKS,corn,IN,Rush,39.58344972,-85.44653091,5/8/13,11/9/13,238.5,bu/ac,False,SILT LOAM,US,"Rush,IN,US"
155,225.0,bu/ac,CHANNEL,corn,IN,Tippecanoe,40.471817,-86.90575821,5/5/14,10/21/14,223.375,bu/ac,False,SILTY CLAY LOAM,US,"Tippecanoe,IN,US"
156,239.1,bu/ac,AGVENTURE,corn,ND,Cass,46.979167,-97.219889,5/10/12,10/15/12,189.8,bu/ac,False,SILT LOAM,US,"Cass,ND,US"
157,183.2872303,bu/ac,AGRIGOLD,corn,KS,Riley,39.18360138,-96.5714,4/28/13,9/24/13,183.9670748,bu/ac,False,SILT LOAM,US,"Riley,KS,US"
158,266.0,bu/ac,CHANNEL,corn,IN,Rush,39.58344972,-85.44653091,5/21/14,11/8/14,256.59375,bu/ac,False,SILT LOAM,US,"Rush,IN,US"
159,198.2,bu/ac,AUGUSTA,corn,NE,Cass,40.8053,-95.90668,4/28/13,9/22/13,217.8,bu/ac,False,SILT LOAM,US,"Cass,NE,US"
160,263.6,bu/ac,RENK,corn,IL,McLean,40.32261,-89.44454,5/15/13,10/28/13,256.3,bu/ac,False,SILTY CLAY LOAM,US,"McLean,IL,US"
161,211.0,bu/ac,ARMOR,corn,IN,Jennings,38.97530205,-85.65483297,5/28/14,11/7/14,216.6875,bu/ac,False,SILT LOAM,US,"Jennings,IN,US"
162,221.6,bu/ac,CHAMPION,corn,IA,Harrison,41.78386,-95.67249,6/3/13,11/19/13,210.3,bu/ac,False,SILT LOAM,US,"Harrison,IA,US"
163,243.0,bu/ac,AGRIGOLD,corn,IN,Tippecanoe,40.471817,-86.90575821,5/5/14,10/21/14,223.375,bu/ac,False,SILTY CLAY LOAM,US,"Tippecanoe,IN,US"
164,158.0,bu/ac,AGRIGOLD,corn,IN,Daviess,38.64199544,-87.08532895,4/19/12,9/20/12,156.372093,bu/ac,False,SILT LOAM,US,"Daviess,IN,US"
